#,Club,City,State,Region,Sport,Status,Owner / Contact,Email,Phone,Website
15,Pickleball Country Club,Houston,TX,Texas,Pickleball,OPEN,Rommie (Managing Partner),Via pickleball-cc.com,(346) 409-1898,pickleball-cc.com
16,Pickle Point – Katy,Katy,TX,Texas,Pickleball,OPEN,,Via clubpicklepoint.com/contact-us,(832) 447-6573,clubpicklepoint.com/katy
17,Pickle Point – Cypress,Cypress,TX,Texas,Pickleball,OPEN,,Via clubpicklepoint.com/contact-us,,clubpicklepoint.com/cypress
18,At Fault – Farmers Branch,Farmers Branch,TX,Texas,Pickleball,OPEN,,Via at-fault.com,,at-fault.com
19,Preston Playhouse,Dallas,TX,Texas,Pickleball,OPEN,,Via prestonpickleball.com,,prestonpickleball.com
20,Oasis Pickleball Club,Rockwall,TX,Texas,Pickleball,OPEN,,Via oasispickleballclub.com,,oasispickleballclub.com
21,Padel39 – North Austin (Domain),Austin,TX,Texas,Padel,OPEN Oct 2024,William Boyce (Founder) & Naomi Boyce,Via padel39.com,+1 737-587-2994,padel39.com
22,Padel39 – East Austin,Austin,TX,Texas,Padel,Opening Mar 2026,William Boyce (Founder) & Naomi Boyce,Via padel39.com,+1 737-587-2994,padel39.com/locations/east-austin-tx
23,Padel39 – Carrollton (Dallas),Carrollton,TX,Texas,Padel,Summer 2026,William Boyce (Founder) & Naomi Boyce,Via padel39.com,+1 737-587-2994,padel39.com
24,The Padel Collective,Austin,TX,Texas,Padel,Spring 2026,"Yaro Kazakov & Daria Dergileva (Founders)",Via padelcollective.com,,padelcollective.com
25,Austin Padel Center,Austin,TX,Texas,Padel,Full opening Q3 2026 (pop-up Feb 1 2026),Benno van Veggel (Founder) / Metis Capital,Via metiscre.com,,metiscre.com
26,PDL Sports & Social Club,San Antonio,TX,Texas,Padel + Pickleball,Summer 2026,Alberto Mosqueda (CEO – PDL Sports Group),Via pdlsportsgroup.com,,pdlsportsgroup.com
27,King of Padel – San Antonio,San Antonio,TX,Texas,Padel + Pickleball,OPEN,,Via thekingofpadel.com,(210) 310-3228,thekingofpadel.com
28,U-Padel – The Woodlands,The Woodlands,TX,Texas,Padel,OPEN,Ruben Gonzales (Owner),Via upadel.us,,upadel.us
29,U-Padel – San Antonio (2nd location),San Antonio,TX,Texas,Padel,Opening 2026,Ruben Gonzales (Owner),Via upadel.us/san-antonio,,upadel.us/san-antonio
30,Pickleball Kingdom – Port Richey,Port Richey,FL,Florida,Pickleball,Early 2026,"Jerry Campbell & Dr. Brian Dahmer",info@pkportrichey.com (inferred),,pickleballkingdom.com
31,Pickleball Kingdom – Ocala,Ocala,FL,Florida,Pickleball,NOW OPEN Feb 28 2026,,Via pickleballkingdom.com,,pickleballkingdom.com
32,Pickleball Kingdom – Pinellas Park,Pinellas Park,FL,Florida,Pickleball,NOW OPEN Jan 2026,,Via pickleballkingdom.com,,pickleballkingdom.com
33,PickleRage – Fort Myers,Fort Myers,FL,Florida,Pickleball,Opening Soon,Ed Pickett (Franchisee),Via picklerage.com,,picklerage.com
34,PickleRage – Jacksonville,Jacksonville,FL,Florida,Pickleball,NOW OPEN,,Via picklerage.com,,picklerage.com
35,The Paddle Lands – Jacksonville,Jacksonville,FL,Florida,Pickleball,NOW OPEN,Dave (Tournament Director),director@officialoap.com,(407) 961-3125,thepaddlelands.com
36,The Fort – Fort Lauderdale,Fort Lauderdale,FL,Florida,Pickleball,OPEN (43 courts),"Brad Tuckman & Rich Campillo (Co-founders)",Via playthefort.com,,playthefort.com
37,Dink House – Largo,Largo,FL,Florida,Pickleball,OPEN,,contact@dinkhouse.com,(727) 612-3595,dinkhouse.com
38,Pickleball Kingdom – Roseville,Roseville,CA,California,Pickleball,Apr/May 2026,"Parminder Saini, Komal Saini, Megan Cohill",info@pickleballkingdomroseville.com,(916) 775-9170,pickleballkingdom.com/clubs/roseville-ca
39,PickleRage – New Rochelle,New Rochelle,NY,New York,Pickleball,Mar 26 2026,,Via picklerage.com,,picklerage.com
40,Ace Pickleball Club – Freehold,Freehold,NJ,New Jersey,Pickleball,2026,TBD,freeholdnj@acepickleballclub.com (inferred),,acepickleballclub.com
41,Ace Pickleball Club – North Brunswick,North Brunswick,NJ,New Jersey,Pickleball,2026,TBD,northbrunswicknj@acepickleballclub.com (inferred),,acepickleballclub.com
42,Ace Pickleball Club – Moorestown,Moorestown,NJ,New Jersey,Pickleball,2026,TBD,moorestownnj@acepickleballclub.com (inferred),,acepickleballclub.com
43,Pickleball Club of Georgia,Atlanta,GA,Southeast,Pickleball,Early 2026,,Via pcga.us,,pcga.us
44,Rhythm and Rally Sports,Macon,GA,Southeast,Pickleball,2026,,Via choosemacon.com,,rhythmandrally.com
45,PickleRage – North Charleston,Charleston,SC,Southeast,Pickleball,NOW OPEN Mar 6 2026,,Via picklerage.com,,picklerage.com
46,Swing Racket and Paddle,Raleigh,NC,Southeast,Pickleball + Padel,2026,,Via swingracket.com,,swingracket.com
47,Cleveland Pickleball Center,Cleveland,OH,Midwest,Pickleball,OPEN,,Via clevelandpickleballcenter.com,,clevelandpickleballcenter.com
48,The Pickle Lodge,Cincinnati,OH,Midwest,Pickleball,OPEN,,Via thepicklelodge.com,,thepicklelodge.com
49,Pickleball Kingdom – Vancouver,Vancouver,WA,Pacific Northwest,Pickleball,Coming 2026,Gunn Robison (Franchisee),Via pickleballkingdom.com,,pickleballkingdom.com
50,Jumbo's Pickleball,Portland/Beaverton,OR,Pacific Northwest,Pickleball,OPEN,,Via jumbospickleball.com,,jumbospickleball.com
51,Ace Pickleball Club – Aurora,Aurora,CO,Mountain West,Pickleball,2026,TBD,auroraco@acepickleballclub.com (inferred),,acepickleballclub.com
52,Ace Pickleball Club – Wilmington,Wilmington,DE,Mid-Atlantic,Pickleball,2026,TBD,wilmingtondelaware@acepickleballclub.com (inferred),,acepickleballclub.com
53,Ace Pickleball Club – Bloomfield,Bloomfield,MI,Midwest,Pickleball,2026,TBD,bloomfieldmi@acepickleballclub.com (inferred),,acepickleballclub.com
